id,aspect_ratio,energy,orientation,overhang,status,wwr,glass_id,request_id,slave_id
214653,2,115,0,23,completed,0.3,107,10,3
214654,2,113,0,34,completed,0.3,107,10,3
214655,2,112,0,45,completed,0.3,107,10,3
214656,2,106,0,1,completed,0.3,104,10,3
214657,2,105,0,12,completed,0.3,104,10,3
214658,2,105,0,23,completed,0.3,104,10,3
214659,2,104,0,34,completed,0.3,104,10,3
214660,2,104,0,45,completed,0.3,104,10,3
214661,2,113,0,1,completed,0.3,103,10,3
214662,2,112,0,12,completed,0.3,103,10,3
214663,2,111,0,23,completed,0.3,103,10,3
214664,2,109,0,34,completed,0.3,103,10,3
214665,2,108,0,45,completed,0.3,103,10,3
214666,2,116,0,1,completed,0.3,105,10,3
214667,2,115,0,12,completed,0.3,105,10,3
214668,2,114,0,23,completed,0.3,105,10,3
214669,2,112,0,34,completed,0.3,105,10,3
214670,2,111,0,45,completed,0.3,105,10,4
214671,3,106,0,1,completed,0.3,108,10,4
214672,3,106,0,12,completed,0.3,108,10,4
214673,3,105,0,23,completed,0.3,108,10,4
214674,3,105,0,34,completed,0.3,108,10,4
214675,3,104,0,45,completed,0.3,108,10,4
214676,3,105,0,1,completed,0.3,106,10,4
214677,3,105,0,12,completed,0.3,106,10,4
214678,3,104,0,23,completed,0.3,106,10,4
214679,3,104,0,34,completed,0.3,106,10,4
214680,3,104,0,45,completed,0.3,106,10,4
214681,3,119,0,1,completed,0.3,107,10,4
214682,3,118,0,12,completed,0.3,107,10,4
214683,3,117,0,23,completed,0.3,107,10,4
214684,3,115,0,34,completed,0.3,107,10,4
214685,3,114,0,45,completed,0.3,107,10,4
214686,3,106,0,1,completed,0.3,104,10,4
214687,3,106,0,12,completed,0.3,104,10,4
214688,3,105,0,23,completed,0.3,104,10,4
214689,3,105,0,34,completed,0.3,104,10,4
214690,3,104,0,45,completed,0.3,104,10,4
214691,3,114,0,1,completed,0.3,103,10,4
214692,3,113,0,12,completed,0.3,103,10,4
214693,3,112,0,23,completed,0.3,103,10,4
214694,3,111,0,34,completed,0.3,103,10,4
214695,3,109,0,45,completed,0.3,103,10,4
214696,3,118,0,1,completed,0.3,105,10,4
214697,3,117,0,12,completed,0.3,105,10,4
214698,3,115,0,23,completed,0.3,105,10,4
214699,3,114,0,34,completed,0.3,105,10,4
214700,3,113,0,45,completed,0.3,105,10,4
214701,4,107,0,1,completed,0.3,108,10,4
214702,4,107,0,12,completed,0.3,108,10,4
214703,4,106,0,23,completed,0.3,108,10,4
214704,4,105,0,34,completed,0.3,108,10,4
214705,4,105,0,45,completed,0.3,108,10,4
214706,4,106,0,1,completed,0.3,106,10,4
214707,4,106,0,12,completed,0.3,106,10,4
214708,4,105,0,23,completed,0.3,106,10,4
214709,4,105,0,34,completed,0.3,106,10,4
214710,4,104,0,45,completed,0.3,106,10,4
214711,4,121,0,1,completed,0.3,107,10,4
214712,4,120,0,12,completed,0.3,107,10,4
214713,4,119,0,23,completed,0.3,107,10,4
214714,4,117,0,34,completed,0.3,107,10,4
214715,4,115,0,45,completed,0.3,107,10,4
214716,4,107,0,1,completed,0.3,104,10,4
214717,4,107,0,12,completed,0.3,104,10,4
214718,4,106,0,23,completed,0.3,104,10,4
214719,4,105,0,34,completed,0.3,104,10,4
214720,4,105,0,45,completed,0.3,104,10,4
214721,4,115,0,1,completed,0.3,103,10,4
214722,4,114,0,12,completed,0.3,103,10,4
214723,4,113,0,23,completed,0.3,103,10,4
214724,4,112,0,34,completed,0.3,103,10,4
214725,4,110,0,45,completed,0.3,103,10,4
214726,4,120,0,1,completed,0.3,105,10,4
214727,4,118,0,12,completed,0.3,105,10,4
214728,4,117,0,23,completed,0.3,105,10,4
214729,4,116,0,34,completed,0.3,105,10,4
214730,4,114,0,45,completed,0.3,105,10,4
214731,5,108,0,1,completed,0.3,108,10,4
214732,5,107,0,12,completed,0.3,108,10,4
214733,5,107,0,23,completed,0.3,108,10,4
214734,5,106,0,34,completed,0.3,108,10,4
214735,5,106,0,45,completed,0.3,108,10,4
214736,5,107,0,1,completed,0.3,106,10,4
214737,5,106,0,12,completed,0.3,106,10,4
214738,5,106,0,23,completed,0.3,106,10,4
214739,5,106,0,34,completed,0.3,106,10,4
214740,5,105,0,45,completed,0.3,106,10,4
214741,5,123,0,1,completed,0.3,107,10,4
214742,5,122,0,12,completed,0.3,107,10,4
214743,5,121,0,23,completed,0.3,107,10,4
